law,field,value,source_url,quote,pattern
sb35,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB35,subject to a requirement mandating a minimum percentage of below market rate housing based on one of the following,subject to a requirement mandating a minimum percentage of below market rate housing based on one of the following
sb35,sunset,"January 1, 2026",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB35,"remain in effect only until January 1, 2026","remain in effect only until (?P<v>January 1, \d{4})"
sb423,chapter,778,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB423,Senate Bill No. 423 CHAPTER 778,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb423,enacted,"October 11, 2023",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB423,"Approved by Governor October 11, 2023.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb423,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB423,"SB 423, Wiener. Land use: streamlined housing approvals: multifamily housing developments.","SB 423, Wiener\. Land use: streamlined housing approvals: multifamily housing developments\."
sb423,sunset,"January 1, 2036",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB423,"remain in effect only until January 1, 2036","remain in effect only until (?P<v>January 1, \d{4})"
sb330,chapter,654,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB330,Senate Bill No. 330 CHAPTER 654,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb330,enacted,"October 09, 2019",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB330,"Approved by Governor October 09, 2019.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb330,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB330,"SB 330, Skinner. Housing Crisis Act of 2019.","SB 330, Skinner\. Housing Crisis Act of 2019\."
sb330,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB330,more than five hearings pursuant to Section 65905,more than five hearings pursuant to Section 65905
sb330,sunset,"January 1, 2025",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB330,"remain in effect only until January 1, 2025","remain in effect only until (?P<v>January 1, \d{4})"
sb8,chapter,161,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB8,Senate Bill No. 8 CHAPTER 161,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
