case_number,hearing_date,request_type,project_address,block,lot
2000.074EKXC,2001-12-13,downtown_project,77 van ness avenue,834,22
2000.074EKXC,2001-12-13,conditional_use,77 van ness avenue,834,22
2001.0483D,2001-12-13,discretionary_review,1863 newcomb avenue,5311,25
2001.0957D,2001-12-20,discretionary_review,"14, 20, 26, 32, 38, 46, 50 & 62 arco way",3154,32;39;38;37;28;27;26;24
2001.0925D,2002-01-10,discretionary_review,45 Gladys Street,5710,19
2001.1026C,2002-01-24,conditional_use,1239 9th Avenue,1714,6
2001.0695D,2002-02-07,discretionary_review,4706 25th street,6501,16
2001.0765D,2002-02-07,discretionary_review,377 & 381 Liberty Street,3605,28;85
2001.1053D,2002-02-07,discretionary_review,780-27th street,6583,14A
2001.1102D,2002-02-21,discretionary_review,1323-41st avenue,1796,3
2001.0921D,2002-02-28,discretionary_review,1358 47th avenue,1801,30
2001.0973DDDDDD,2002-03-14,discretionary_review,2518 union street,945,8
2001.1027CR,2002-04-04,conditional_use,3224-3252 Pierce Street,490,9;10;11;12;13
2001.527D,2002-04-04,discretionary_review,155 ellington avenue,7043,3F
2001.0114DD,2002-04-11,discretionary_review,293 downey street,1269,46
2001.0982D,2002-04-11,discretionary_review,2887 washington street,1002,27
2001.1088CD,2002-04-11,discretionary_review,1087 mississippi street,4224,49
2001.1167D,2002-04-18,discretionary_review,919 elizabeth street,2828,38
2001.0645D,2002-05-02,discretionary_review,839 dolores street,3618,76
2001.0879D,2002-05-02,discretionary_review,425 collingwood street,2770,23
2001.0894DD,2002-05-09,discretionary_review,22-24 annapolis terrace,1163,15
2002.0189CD,2002-05-09,discretionary_review,843 South Van Ness Avenue,3594,22
2002.0198D,2002-05-09,discretionary_review,2337-2339 green street,559,40;41
2002.0321CD,2002-05-09,discretionary_review,3003/3005 23rd street,3640,1
2002.0323CD,2002-05-09,discretionary_review,3007/3009 - 23rd street,3640,1
2002.0323CD,2002-05-09,conditional_use,3007/3009 23rd street,3640,1
2000.718CEKV,2002-05-16,variance,1630 California Street and 1529 Polk Street,643,3
2000.790KEXCTZM,2002-05-23,downtown_project,888 Howard Street,3724,66
2001.0513D,2002-05-23,discretionary_review,2667 37th avenue,2459,17
2001.0645D,2002-05-23,discretionary_review,839 dolores street,3618,76
2001.1050D,2002-05-23,discretionary_review,3271 18th street,3591,18
2002.0187D,2002-05-23,discretionary_review,128 gambier street,5907,6
2002.0321CD,2002-05-23,discretionary_review,3003/3005 23rd Street,3640,1
2002.0323CD,2002-05-23,discretionary_review,3007/3009 23rd street,3640,1
2001.0947D,2002-05-30,discretionary_review,355 Country Club Drive,7274,1
2002.0314CV,2002-05-30,variance,4601 3rd street,5306,4;29
2001.0494CDV,2002-06-06,discretionary_review,1475-79 Folsom Street,3520,30B;30C
2002.0072D,2002-06-13,discretionary_review,1512 la playa,1894,39A
2002.0259DDDDD,2002-06-13,discretionary_review,536 presidio avenue,1031,22
2002.0556DD,2002-06-13,discretionary_review,2670 47th avenue,2450,22
2001.1126CV,2002-06-27,conditional_use,965-985 geneva avenue & 852 paris street,6409,5;6;7;8;9;10
2002.0151DEK,2002-06-27,discretionary_review,480 potrero avenue,3973,2C
2002.0191D,2002-06-27,discretionary_review,292 ivy street,809,14
2002.0702DDD,2002-09-17,discretionary_review,185-189 broad street,7113,23
2002.0831DD,2002-09-17,discretionary_review,946-948 elizabeth street,2807,15
2001.0551D,2002-09-26,discretionary_review,1782 quesada avenue,5327,27
2001.1152D,2002-09-26,discretionary_review,2429 14th avenue,2411,4
2002.0174,2002-09-26,discretionary_review,1515-18th avenue,1864,1E
2002.0718DDDDD,2002-09-26,discretionary_review,594 48th avenue,1497,16M
2002.0726D,2002-09-26,discretionary_review,2126 steiner street,635,12
2002.0803DDDD,2002-09-26,discretionary_review,281-285 edgewood avenue,2641,42;43
2002.0725DD,2002-10-03,discretionary_review,1170-1180 green street,122,12
2001.1126CV,2002-10-10,conditional_use,965-985 geneva avenue & 852 paris street,6409,5;6;7;8;9;10
2002.0452D,2002-10-10,discretionary_review,75 miraloma drive,2973,34
2002.0213D,2002-10-17,discretionary_review,1462 34th avenue,1820,31
2002.0575C,2002-10-24,conditional_use,3537-3561 19th Street,3596,104
2002.0772DDD,2002-11-14,discretionary_review,438 21st Avenue,1524,32
2002.0124CVR,2002-12-05,variance,2815 diamond street,6745,25A;26;27;28;29;63
2001.1176D,2002-12-12,discretionary_review,2998 22nd Avenue,7205,7
2002.0851D,2002-12-12,discretionary_review,52 Cervantes Boulevard,443A,7
2002.1022D,2002-12-12,discretionary_review,21 Buena Vista East Avenue,1241,9A
2002.0650D,2003-01-09,discretionary_review,3358 Cesar Chavez Street,6571,16
2002.0650D,2003-01-16,discretionary_review,3358 cesar chavez street,6571,16
2002.0687D,2003-02-06,discretionary_review,2368 vallejo street,558,17
2002.0835DDDDD,2003-02-13,discretionary_review,2750 greenwich street,939,13
2002.0839D,2003-02-13,discretionary_review,2616 Union Street,946,6
2002.1001CD,2003-02-20,discretionary_review,2020 clement street,1412,17
2002.1113D,2003-02-20,discretionary_review,2020 clement street,1412,17
2002.1245DDDDD,2003-02-20,discretionary_review,662 28th street,6605,43
2002.1246DDDDD,2003-02-20,discretionary_review,660 28th street,6605,43
2002.0717DDDDD,2003-02-27,discretionary_review,653 duncan street,6604,35
2002.0812KXCV,2003-02-27,variance,61-69 Clementina Street,3736,36;37
2002.1192D,2003-02-27,discretionary_review,2431 Rivera Street,2315,25
2002.0970D,2003-03-06,discretionary_review,128 King Street,3794,23
1999.554CD,2003-03-13,conditional_use,601 king street,3800,1;2
1999.554CD,2003-03-13,discretionary_review,601 King Street,3800,1;2
2002.1284D,2003-03-20,discretionary_review,710 Edinburgh Street,6342,4
2002.0682D,2003-03-27,discretionary_review,263 Dublin Street,6284,4I
2002.0657C,2003-04-24,conditional_use,3725 buchanan street,445A,4
2002.1065DD,2003-04-24,discretionary_review,1469 18th Street,4036,27
2002.0446CEK,2003-05-01,variance,40-50 lansing street,3749,11
2002.1065DD,2003-05-08,discretionary_review,1469 18th Street,4036,27
2002.1298CV,2003-05-08,conditional_use,624 Laguna Street,807,12
2003.0028XCV,2003-05-08,conditional_use,150 Powell Street,327,22
2003.0028XCV,2003-05-08,large_project_authorization,150 Powell Street,327,22
2003.0075DDDDD,2003-05-08,discretionary_review,139 randall street,6663,36
2003.0193D,2003-05-08,discretionary_review,2146 45th avenue,2173,40
2003.0312D,2003-05-08,discretionary_review,761 kansas street,4073,17
2002.0430C,2003-05-15,conditional_use,378 10th Avenue,1441,35
2002.1056D,2003-05-15,variance,1235 3rd Avenue,1747,8
2002.1056DV,2003-05-15,discretionary_review,1235 3rd Avenue,1747,8
2002.1110DDD,2003-05-15,discretionary_review,323 26th avenue,1407,3
2002.1184DD,2003-05-15,discretionary_review,620 carolina street,4071,3
2003.0139D,2003-05-15,discretionary_review,1835 19th Avenue,2056,7
2002.0207C,2003-05-22,conditional_use,5894-5898 mission street,7143,33
2002.1065DD,2003-05-22,discretionary_review,1469 18th street,4036,27
2002.1297DDDDD,2003-05-22,discretionary_review,567 Sanchez Street,3585,32
2003.0195D,2003-05-22,discretionary_review,1 Palo Alto Drive,2724,3
2003.0293D,2003-06-05,discretionary_review,1525 Folsom Street,3521,53
2003.0393DD,2003-06-12,discretionary_review,1336 18th avenue,1772,4H
2002.0933DV,2003-06-19,discretionary_review,891 carolina street,4097,27
2003.0293D,2003-06-19,discretionary_review,1525 Folsom Street,3521,53
2003.0466C,2003-06-19,conditional_use,555 4th Street,3776,119
2002.0207C,2003-06-26,conditional_use,5894-5898 mission street,7143,33
2002.1297DDDDD,2003-06-26,discretionary_review,567 Sanchez Street,3585,32
2003.0316D,2003-07-10,discretionary_review,529 21st Avenue,1564,4
2002.0277C,2003-07-17,conditional_use,150 golden gate avenue,344,4
2002.1171DV,2003-07-17,discretionary_review,2312 Webster Street,604,22
2003.0195D,2003-07-17,discretionary_review,1 palo alto drive,2724,3
2000.1090C,2003-07-24,conditional_use,300 Spear Street,3745,1
2002.1268D,2003-07-31,discretionary_review,527 23rd avenue,1566,7
2003.0344D,2003-07-31,discretionary_review,1222 revere avenue,4762,26
2003.0471D,2003-07-31,discretionary_review,764 Pacheco Street,2123A,14
2003.0090C,2003-08-21,conditional_use,3953 24th street,6508,32
2003.0368D,2003-08-21,discretionary_review,646 lakeview avenue,7016,21
2003.0585D,2003-08-21,discretionary_review,465 day street,6640,8
2002.0207C,2003-08-28,conditional_use,5894-5898 Mission Street,7143,33
2002.1268D,2003-09-11,discretionary_review,527 23rd avenue,1566,7
2003.0110DD,2003-09-11,discretionary_review,1921 Palou Avenue,5330,42
2003.0435DD,2003-09-11,discretionary_review,231 delano avenue,3211,17A
2002.0939D,2003-09-25,discretionary_review,727-729 moraga street,2036A,6
2003.0734D,2003-10-16,discretionary_review,1740 church street,6632,8
2002.0658C,2003-11-06,conditional_use,735 7th Avenue,1650,36
2002.0628EKCV,2003-11-13,conditional_use,1160 mission street,3702,37;38;56
2002.0345D,2003-11-20,discretionary_review,1708 anza street,1536,15
2002.1307V,2003-11-20,variance,474 magellan avenue,2926,14
2003.0535EDV,2003-11-20,discretionary_review,937-939 Jackson Street,191,28
2003.0753D,2003-11-20,discretionary_review,2371 44th avenue,2373,15
2002.0605CV,2003-12-04,conditional_use,4614-4630 California Street,1368,49
2002.1298EKCD,2003-12-18,variance,624 and 630-632 laguna street,807,12;13
2003.0535EDV,2003-12-18,discretionary_review,937-939 Jackson Street,191,28
2003.0940C,2004-01-15,conditional_use,1469 18th Street,4036,27
2003.0110DD,2004-01-22,discretionary_review,1921 palou avenue,5330,42
2003.0866D,2004-01-22,discretionary_review,42 beaumont avenue,1086,22
2003.1166D,2004-01-22,discretionary_review,1130 Gillman Avenue,4938,5
2003.1306D,2004-01-22,discretionary_review,594 48th avenue,1497,16M
2004.0015D,2004-01-22,discretionary_review,1637 19th Street,4069,26
2003.1082C,2004-02-05,conditional_use,1145 polk street,691,1
2003.1256D,2004-02-12,discretionary_review,191-193 Lower Terrace,2627,32
2003.1264D,2004-02-12,discretionary_review,3264 Lyon Street,925,28
2003.1282D,2004-02-12,discretionary_review,609 Cortland Avenue,5667,17
2003.0584EXKCMTZLU,2004-02-19,downtown_project,690 Market Street,311,6
2001.1039EKBMXZ,2004-02-26,other,55 Ninth Street,3701,63
2003.0535EDV,2004-02-26,discretionary_review,937-939 Jackson Street,191,28
2003.1263D,2004-02-26,discretionary_review,80 Riverton Drive,7252,29
2003.1281DD,2004-02-26,discretionary_review,1380 hampshire street,4275,11
2003.1330D,2004-02-26,discretionary_review,1695 25th avenue,1918,21
2003.0545D,2004-03-25,discretionary_review,505-507 Kirkham Street,1855,45
2002.0677D,2004-04-01,discretionary_review,679 40th avenue,1583,20
2003.0535EDV,2004-04-01,discretionary_review,937-939 Jackson Street,191,28
2003.0741D,2004-04-01,discretionary_review,580 Oak Park Drive,2676,30
2003.1231C,2004-04-01,conditional_use,1342 irving street,1736,18A
2002.0914R,2004-04-08,other,675 townsend street,3799,7
2003.1216D,2004-04-08,discretionary_review,122 Maynard Street,5894,40
2003.0860D,2004-04-15,discretionary_review,357 Howth Street,7035,13
2003.1316DD,2004-04-15,discretionary_review,168 29th street,6617,17
2004.0067DD,2004-04-15,discretionary_review,5734-5736 california street,1379,19
2003.0312D,2004-04-22,discretionary_review,309 Cortland Avenue,5667,17
2003.0535EDDV,2004-04-22,variance,937-939 jackson street,191,28
