case_number,motion_number,hearing_date,request_type,project_address,block,lot
2000.035C,16002,2000-10-05,conditional_use,1101-1123 Fillmore Street,755,52
2000.579C,16006,2000-10-12,conditional_use,50-68 julian avenue,3547,22
2000.467C,16013,2000-10-26,conditional_use,2362 Market Street,3562,11
1999.821VCD,16025,2000-11-02,office_allocation,178 Townsend Street,3788,13
2000.290C,16016,2000-11-02,conditional_use,370-398 10th street,3520,11;12;13
2000.530C,16021,2000-11-02,conditional_use,1500 taylor street,158,20
2000.572C,16037,2000-11-16,conditional_use,2543 Noriega Street,2069,10
2000.724C,16034,2000-11-16,conditional_use_modification,1104 York Street,4209,38
2000.429C,16052,2000-12-07,conditional_use,1060-1062 geary street,694,9;9A
2000.987CV,16050,2000-12-07,conditional_use,530 folsom street,3736,17
1999.849VC,16056,2000-12-14,conditional_use,821 Folsom Street,3572,92;93;94
2000.641C,16064,2000-12-14,conditional_use,1047 mississippi street,4224,12
2000.656CV,16059,2000-12-14,conditional_use,1988 van ness avenue,598,10A
2000.887C,16061,2000-12-14,conditional_use,929 market street,3704,64;74;75
2000.988C,16062,2000-12-14,conditional_use,399 fremont street,3747,2
2000.270C,16077,2001-01-11,conditional_use,535-537 Valencia Street,3569,44
2000.265CV,16080,2001-01-18,conditional_use,2940 folsom street,6525,8
2000.1031C,16083,2001-02-01,conditional_use,1060 - 1068 hyde street,251,23
2000.1221C,16085,2001-02-01,conditional_use,450 sutter street,285,6
2000.385C,16084,2001-02-01,conditional_use,2001 union street,541,24
1997.433A,16086,2001-02-08,historic,22 alta street,106,34A
2000.1099X,16087,2001-02-08,downtown_project,57 jessie street,3708,20
2000.591C,16088,2001-02-08,conditional_use,1701 37th avenue,2012,1;5
2000.1179C,16095,2001-02-15,conditional_use,366-368 south van ness avenue,3616,61
2000.552XBCV,16103,2001-02-22,downtown_project,199 new montgomery street,3722,21
2000.171C,16108,2001-03-01,downtown_project,466 Bush Street,270,42
2000.171CX,16109,2001-03-01,conditional_use_modification,466 bush street,270,42
1999.795BCD,16122,2001-03-15,office_allocation,177 townsend street,3794,4;7
1999.795BCD,16122,2001-03-15,conditional_use,177 Townsend Street,3794,4;7
2000.1108C,16116,2001-03-15,conditional_use,3995 Alemany Boulevard,7126A,3
2000.539BC,16115,2001-03-15,downtown_project,500 pine street,258,4;5;6;7;8;9
2000.539BCX,16113,2001-03-15,office_allocation,500 pine street,258,4;5;6;7;8;9
2000.539BCX,16114,2001-03-15,conditional_use,500 pine street,258,4;5;6;7;8;9
2000.986XBCH,16120,2001-03-15,historic,150 powell street,327,22
2000.986XBCH,16117,2001-03-15,downtown_project,150 Powell Street,327,22
2000.986XBCH,16119,2001-03-15,conditional_use,150 powell street,327,22
2000.868CV,16126,2001-03-22,conditional_use,1452 bush street,667,8
2001.0043C,16127,2001-03-22,conditional_use,222 2nd street,3735,63
1999.210C,16133,2001-04-05,conditional_use,3620 19th street,3587,18;68;70
1999.603B,16129,2001-04-05,downtown_project,555 mission street,3721,69;70;78;79;80;81
2000.1268XCV,16134,2001-04-05,downtown_project,663-665 Sutter Street,297,11
2000.1268XCV,16135,2001-04-05,conditional_use,663-665 sutter street,297,11
1998.281BC,16143,2001-04-19,office_allocation,185 berry street,3803,5
1998.281VAND2001.0179V,16144,2001-04-19,,,,
2000.1195C,16146,2001-04-19,conditional_use,547 howard street,3736,110
2000.277BXC,16141,2001-04-19,downtown_project,801 market street,3705,48
2001.0072C,16145,2001-04-19,conditional_use,501-503 laguna street,819,35
2000.1232C,16153,2001-04-26,conditional_use,435 Harriet Street,3784,77
2000.190B,16150,2001-04-26,downtown_project,201 second street,3736,97
2000.190BX,16149,2001-04-26,office_allocation,201 second street,3736,97
2000.613XC,16151,2001-04-26,downtown_project,425 battery street,206,3;4;5
2000.1244C,16161,2001-05-10,conditional_use,2489-2491 washington street,612,22
2001.0252C,16158,2001-05-10,conditional_use,1218 south van ness avenue,3642,67
2001.0363C,16160,2001-05-10,conditional_use,1212 thomas avenue,4792,29
1999.885C,16166,2001-05-17,conditional_use,679 24th Avenue,1567,12
2000.527C,16165,2001-05-17,conditional_use,1635 california street,646,14
2000.1006CV,16171,2001-06-07,conditional_use,2516-2524 mission street,3616,61
2000.259EKXV,16173,2001-06-07,large_project_authorization,421 turk street,346,17
2000.660BX,16174,2001-06-14,office_allocation,35 hawthorne street,3735,47
2000.660BX,16175,2001-06-14,downtown_project,35 Hawthorne Street,3735,47
2000.863CV,16176,2001-06-14,conditional_use,2712 mission street,3643,3
2001.0140C,16178,2001-06-21,conditional_use,845 Vienna Street,,
2000.1261EC,16182,2001-06-28,conditional_use,4501 irving street,1801,47;49
2001.028T,16180,2001-06-28,planning_code_amendment,,,
2001.0518C,16181,2001-06-28,conditional_use,2872 24th Street,4208,20A
2000.0333C,16189,2001-07-12,conditional_use,639 missouri street,4101,60
2000.586X,16186,2001-07-12,downtown_project,1 Polk Street,814,4;5;6;7;8;9
2001.0361C,16188,2001-07-12,conditional_use,1634-44 pine street,647,7
2000.1151CR,16192,2001-07-19,conditional_use,887 Potrero Avenue,4090,2
2001.0293C,16191,2001-07-19,conditional_use,490 2nd Street,3763,7
2001.0223C,16196,2001-07-26,conditional_use,1330-1342 polk street,668,6
2001.0332C,16197,2001-07-26,conditional_use,777 brotherhood way,7380,33
2001.0669XCV,16194,2001-07-26,downtown_project,199 new montgomery street,3722,21
2001.0669XCV,16195,2001-07-26,conditional_use,199 new montgomery street,3722,21
2001.0479EC,16200,2001-08-02,conditional_use,1875 marin street and 1990 evans avenue,4347A,1;2
2000.1315C,16203,2001-08-09,conditional_use,52 sheridan street,3519,34
2001.0503C,16207,2001-08-16,conditional_use,434-450 Harrison Street,3748,12
2000.306C,16217,2001-08-23,conditional_use,215 church street,3544,64
2001.0092EC,16209,2001-08-23,conditional_use,1800-1820 San Jose Avenue,3144A,31
2001.0604C,16219,2001-08-23,conditional_use,3928 Geary Boulevard,1435,16
2001.0639C,16220,2001-08-23,conditional_use,60 6th street,3703,6
2000.1279C,16221,2001-09-06,conditional_use,522-524 clipper street,6545,9
2001.0212C,16243,2001-09-06,conditional_use,901-933 bayshore boulevard,5402,62
2001.0598C,16227,2001-09-06,conditional_use,1844-1850 Irving Street,1731,25;27
2000.961EZCKS,16234,2001-09-13,conditional_use,1101 O'Farrell Street,713;720,33;35;36
1999.423B,16240,2001-09-20,office_allocation,699-2nd Street,3789,4
2000.1140XE,16239,2001-09-20,downtown_project,1 powell street,330,5
2000.723ABCV,16241,2001-09-20,office_allocation,639 2nd street,3789,5
2000.723ABCV,16242,2001-09-20,conditional_use,639 2nd street,3789,5
2000.723ABCV,16243,2001-09-20,historic,639 2nd street,3789,5
2000.0173C,16254,2001-10-04,conditional_use,500 francisco street,42;43,1
2001.0446C,16255,2001-10-04,conditional_use,6901 geary boulevard,1511,1
2001.0749C,16249,2001-10-04,conditional_use,103 broad street,7113,1
2000.1217C,16257,2001-10-11,conditional_use,1100-1126 polk street,692,12
2000.497CV,16256,2001-10-11,conditional_use,611 jones street,304,3
2001.0552C,16258,2001-10-11,conditional_use,4610 mission street,3206,3
2001.0685CR,16260,2001-10-11,conditional_use,135 Sanchez Street,3542,25
2000.692CVD,16264,2001-10-18,conditional_use,2200 mission street,3589,1
2001.0522C,16262,2001-10-18,conditional_use,965-985 geneva avenue,6409,6;7;8;9;10
2001.0667C,16263,2001-10-18,conditional_use,3352 Steiner Street,491,22
2001.0327C,16266,2001-10-25,conditional_use,2038 clement street,1412,32
2001.0781CR,16268,2001-10-25,conditional_use,2155-18th Avenue,2199,3
2000.1190C,16287,2001-11-15,conditional_use,2801-2825 California Street,1028,1
2001.0713C,16288,2001-11-15,conditional_use,2000 Van Ness Avenue,595,5
2001.0790C,16289,2001-11-15,conditional_use,1745 Taraval Street,2398,41
2001.0137CV,16296,2001-12-06,conditional_use,3294 mission street,6596,12
2001.0613CP,16294,2001-12-06,conditional_use,2700-45th avenue,2513,26
2001.0399C,16305,2001-12-13,conditional_use,627 Vallejo Street,146,19;20
2001.0953C,16304,2001-12-13,conditional_use,331 30th Avenue,1403,5
2001.0605C,16314,2001-12-20,conditional_use,510 Frederick Street,1263,6
2001.0718CR,16317,2001-12-20,conditional_use,1701 jerrold avenue,5280,1
2001.0718CR,16316,2001-12-20,general_plan_amendment,1701 jerrold avenue,5280,1
2001.0721C,16318,2001-12-20,conditional_use,2645 Ocean Avenue,7226,23
2001.0938ACD,16312,2001-12-20,historic,3615 20th street,3608,74
2001.0962C,16319,2001-12-20,conditional_use,2400 - 2418 14th Avenue,2412,34
2000.074EKXC,16320,2002-01-10,large_project_authorization,77 van ness avenue,834,22
2000.074EKXC,16321,2002-01-10,conditional_use,77 van ness avenue,834,22
2000.1191C,16328,2002-01-10,conditional_use,1828 geneva avenue,6423,6;7
2001.0406CV,16325,2002-01-10,conditional_use,1654 kirkwood avenue,5279,17;18
2001.0719C,16326,2002-01-10,conditional_use,100 Harrison Street,3745,9
2001.1069T,16324,2002-01-10,planning_code_amendment,,,
2000.520C,16330,2002-01-17,conditional_use,2601 mission street,3637,69
2001.1059C,16329,2002-01-17,conditional_use,2601 Mission Street,3637,69
2000.1094KRV,16338,2002-01-24,general_plan_amendment,golden gate park,1700,1
2000.1094KRV,16337,2002-01-24,other,,1700,1
2001.0632C,16333,2002-01-24,conditional_use,1926-1928 Clement Street,1413,20
